"Relative Intensity (%) Run #2";"Output Voltage Ch H (V) Run #2";"Output Current Ch H (A) Run #2";"Angle (rad) Run #2"
2,12;5,51;0,61;0,000
2,11;5,51;0,61;0,000
2,15;5,51;0,61;0,000
2,14;5,51;0,61;0,000
2,13;5,51;0,61;0,000
2,15;5,51;0,61;0,000
2,13;5,51;0,61;0,000
2,14;5,51;0,61;0,000
2,11;5,51;0,61;0,000
2,17;5,51;0,61;0,000
2,17;5,51;0,61;0,000
2,13;5,51;0,61;0,000
2,22;5,51;0,61;0,000
2,04;5,51;0,61;0,000
2,08;5,51;0,61;0,000
2,11;5,51;0,61;0,000
2,02;5,51;0,61;0,000
2,05;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
0,00;5,51;0,61;0,000
-0,06;5,51;0,61;0,000
-0,10;5,51;0,61;0,000
-0,03;5,51;0,61;0,000
0,05;5,51;0,61;0,000
0,09;5,51;0,61;0,000
0,02;5,51;0,61;0,000
0,05;5,51;0,61;0,000
0,12;5,51;0,61;0,000
0,02;5,51;0,61;0,000
0,05;5,51;0,61;0,000
-0,04;5,52;0,61;0,000
-0,02;5,51;0,61;0,000
0,03;5,52;0,61;0,000
0,07;5,52;0,61;0,000
0,01;5,52;0,61;0,000
-0,07;5,52;0,61;0,000
0,04;5,52;0,61;0,000
-0,04;5,52;0,61;0,000
