"Relative Intensity (%) Run #1";"Output Voltage Ch H (V) Run #1";"Output Current Ch H (A) Run #1";"Angle (rad) Run #1";"Relative Intensity (%) Run #2";"Output Voltage Ch H (V) Run #2";"Output Current Ch H (A) Run #2";"Angle (rad) Run #2";"Relative Intensity (%) Run #3";"Output Voltage Ch H (V) Run #3";"Output Current Ch H (A) Run #3";"Angle (rad) Run #3";"Relative Intensity (%) Run #4";"Output Voltage Ch H (V) Run #4";"Output Current Ch H (A) Run #4";"Angle (rad) Run #4"
-1,46;5,01;0,58;0,000;0,16;6,02;0,63;0,000;-0,84;7,01;0,68;0,000;0,16;8,02;0,73;0,000
-1,63;5,01;0,58;0,000;0,08;6,02;0,63;0,000;-0,85;7,01;0,68;0,000;0,18;8,02;0,73;0,000
-1,67;5,01;0,58;0,000;0,00;6,02;0,63;0,000;-0,87;7,01;0,68;0,000;0,23;8,02;0,73;0,000
-1,76;5,01;0,58;0,000;0,08;6,02;0,63;0,000;-0,83;7,01;0,68;0,000;0,05;8,02;0,73;0,000
-1,54;5,01;0,58;0,000;0,14;6,02;0,63;0,000;-0,88;7,01;0,68;0,000;0,02;8,02;0,72;0,000
-1,68;5,01;0,58;0,000;0,01;6,02;0,63;0,000;-0,88;7,01;0,68;0,000;-0,05;8,02;0,72;0,000
-1,50;5,01;0,58;0,000;0,06;6,02;0,63;0,000;-0,96;7,01;0,68;0,000;0,14;8,02;0,72;0,000
-1,48;5,01;0,58;0,000;0,12;6,02;0,63;0,000;-0,90;7,01;0,68;0,000;0,10;8,02;0,72;0,000
-1,37;5,01;0,58;0,000;0,09;6,02;0,63;0,000;-0,98;7,01;0,68;0,000;0,16;8,02;0,72;0,000
-1,40;5,01;0,58;0,000;0,20;6,02;0,63;0,000;-0,95;7,01;0,68;0,000;0,20;8,02;0,72;0,000
-1,40;5,01;0,58;0,000;0,18;6,02;0,63;0,000;-0,87;7,01;0,68;0,000;0,20;8,02;0,72;0,000
-1,37;5,01;0,58;0,000;0,26;6,02;0,63;0,000;-0,94;7,01;0,68;0,000;0,16;8,02;0,72;0,000
-1,51;5,01;0,58;0,000;0,22;6,02;0,63;0,000;-0,93;7,01;0,68;0,000;0,22;8,02;0,72;0,000
-1,56;5,01;0,58;0,000;0,31;6,02;0,63;0,000;-1,10;7,01;0,68;0,000;0,13;8,02;0,72;0,000
-1,54;5,01;0,58;0,000;0,20;6,02;0,63;0,000;-1,03;7,01;0,68;0,000;0,04;8,02;0,72;0,000
-1,54;5,01;0,58;0,000;0,22;6,02;0,63;0,000;-1,05;7,01;0,68;0,000;-0,19;8,02;0,72;0,000
-1,58;5,01;0,58;0,000;0,23;6,02;0,63;0,000;-1,07;7,01;0,68;0,000;-0,19;8,02;0,72;0,000
-1,54;5,01;0,58;0,000;0,19;6,02;0,63;0,000;-1,07;7,01;0,68;0,000;0,04;8,02;0,72;0,000
-1,54;5,01;0,58;0,000;0,30;6,02;0,63;0,000;-1,12;7,01;0,68;0,000;0,20;8,02;0,72;0,000
-1,64;5,01;0,58;0,000;0,27;6,02;0,63;0,000;-1,09;7,01;0,68;0,000;0,16;8,02;0,72;0,000
-1,69;5,01;0,58;0,000;0,15;6,02;0,63;0,000;-1,05;7,02;0,68;0,000;0,11;8,02;0,72;0,000
-1,63;5,01;0,58;0,000;0,13;6,02;0,63;0,000;-0,98;7,02;0,68;0,000;0,12;8,02;0,72;0,000
-1,59;5,01;0,58;0,000;-0,01;6,02;0,63;0,000;-1,00;7,02;0,68;0,000;0,12;8,02;0,72;0,000
-1,54;5,01;0,58;0,000;0,01;6,02;0,63;0,000;-1,08;7,02;0,68;0,000;0,08;8,02;0,72;0,000
-1,57;5,01;0,58;0,000;0,11;6,02;0,63;0,000;-1,13;7,02;0,68;0,000;0,19;8,02;0,72;0,000
-1,51;5,01;0,58;0,000;0,16;6,02;0,63;0,000;-1,09;7,02;0,68;0,000;0,14;8,02;0,72;0,000
0,00;5,01;0,58;0,000;0,06;6,02;0,63;0,000;-1,06;7,02;0,68;0,000;0,15;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,08;6,02;0,63;0,000;-1,07;7,02;0,68;0,000;0,13;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,00;6,02;0,63;0,000;0,00;7,02;0,68;0,000;0,03;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,00;6,02;0,63;0,000;0,00;7,02;0,68;0,000;0,13;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,00;6,02;0,63;0,000;0,00;7,02;0,68;0,000;0,00;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,00;6,02;0,63;0,000;0,00;7,02;0,68;0,000;0,11;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,00;6,02;0,63;0,000;0,00;7,02;0,68;0,000;0,00;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,00;6,02;0,63;0,000;0,00;7,02;0,68;0,000;0,00;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,00;6,02;0,63;0,000;0,00;7,02;0,68;0,000;0,00;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,00;6,02;0,63;0,000;0,00;7,02;0,68;0,000;0,00;8,02;0,72;0,000
0,00;5,02;0,58;0,000;0,00;6,02;0,63;0,000;0,00;7,02;0,68;0,000;0,00;8,02;0,72;0,000
