"Relative Intensity (%) Run #7";"Output Voltage Ch H (V) Run #7";"Output Current Ch H (A) Run #7";"Angle (rad) Run #7"
-1,28;8,02;0,73;0,000
-1,29;8,02;0,73;0,000
-1,38;8,02;0,73;0,000
-1,35;8,02;0,73;0,000
-1,28;8,02;0,73;0,000
-1,29;8,02;0,73;0,000
-1,37;8,02;0,73;0,000
-1,24;8,02;0,73;0,000
-1,21;8,02;0,73;0,000
-1,19;8,02;0,72;0,000
-1,10;8,02;0,72;0,000
-1,19;8,02;0,72;0,000
-1,15;8,02;0,72;0,000
-1,20;8,02;0,72;0,000
-1,17;8,02;0,72;0,017
-1,20;8,02;0,72;0,017
-1,18;8,02;0,72;0,017
-1,21;8,02;0,72;0,017
-1,16;8,02;0,72;0,017
-1,12;8,02;0,72;0,000
-1,17;8,02;0,72;0,000
0,00;8,02;0,72;0,000
0,00;8,02;0,72;0,000
0,00;8,02;0,72;0,000
0,00;8,02;0,72;0,000
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
0,00;8,02;0,72;0,017
-0,06;8,02;0,72;0,017
-0,04;8,02;0,72;0,017
-0,05;8,02;0,72;0,017
-0,07;8,02;0,72;0,017
-0,07;8,02;0,72;0,017
-0,08;8,02;0,72;0,017
-0,12;8,02;0,72;0,017
-0,12;8,02;0,72;0,017
-0,16;8,02;0,72;0,017
-0,15;8,02;0,72;0,017
-0,09;8,02;0,72;0,017
-0,12;8,02;0,72;0,017
-0,04;8,02;0,72;0,017
-0,07;8,02;0,72;0,017
-0,01;8,02;0,72;0,017
0,05;8,02;0,72;0,017
0,05;8,02;0,72;0,017
0,03;8,02;0,72;0,017
0,09;8,02;0,72;0,035
0,01;8,02;0,72;0,087
-0,08;8,02;0,72;0,192
-0,06;8,02;0,72;0,332
-0,09;8,02;0,72;0,454
-0,08;8,02;0,72;0,524
-0,11;8,02;0,72;0,611
-0,12;8,02;0,72;0,698
-0,13;8,02;0,72;0,803
-0,10;8,02;0,72;0,942
-0,13;8,02;0,72;1,047
-0,02;8,02;0,72;1,152
-0,10;8,02;0,72;1,274
-0,05;8,02;0,72;1,396
-0,11;8,02;0,72;1,553
-0,17;8,02;0,72;1,728
-0,17;8,02;0,72;1,885
-0,14;8,02;0,72;2,059
-0,06;8,02;0,72;2,217
-0,17;8,02;0,72;2,391
-0,14;8,02;0,72;2,583
-0,09;8,02;0,72;2,705
-0,07;8,02;0,72;2,810
-0,14;8,02;0,72;2,862
-0,01;8,02;0,72;2,915
-0,14;8,02;0,72;2,985
-0,09;8,02;0,72;3,054
-0,18;8,02;0,72;3,176
-0,12;8,02;0,72;3,316
-0,11;8,02;0,72;3,421
-0,23;8,02;0,72;3,526
-0,18;8,02;0,72;3,595
-0,10;8,02;0,72;3,683
-0,09;8,02;0,72;3,770
-0,04;8,02;0,72;3,857
-0,05;8,02;0,72;3,944
-0,17;8,02;0,72;4,032
-0,19;8,02;0,72;4,119
-0,18;8,02;0,71;4,206
-0,14;8,02;0,71;4,311
-0,19;8,02;0,71;4,451
-0,15;8,02;0,71;4,625
-0,13;8,02;0,71;4,852
-0,17;8,02;0,71;5,027
-0,14;8,02;0,71;5,166
-0,13;8,02;0,71;5,306
-0,18;8,02;0,71;5,428
-0,17;8,02;0,71;5,533
-0,13;8,02;0,71;5,655
-0,30;8,02;0,71;5,794
-0,22;8,02;0,71;5,952
-0,29;8,02;0,71;6,109
-0,25;8,02;0,71;6,248
-0,24;8,02;0,71;6,353
-0,32;8,02;0,71;6,440
-0,30;8,02;0,71;6,475
-0,17;8,02;0,71;6,545
-0,21;8,02;0,71;6,650
-0,07;8,02;0,71;6,720
-0,08;8,02;0,71;6,772
-0,09;8,02;0,71;6,824
-0,11;8,02;0,71;6,859
-0,21;8,02;0,71;6,912
-0,26;8,02;0,71;6,981
-0,20;8,02;0,71;7,069
-0,23;8,02;0,71;7,138
-0,22;8,02;0,71;7,243
-0,21;8,02;0,71;7,348
-0,33;8,02;0,71;7,470
-0,27;8,02;0,71;7,610
-0,31;8,02;0,71;7,767
-0,31;8,02;0,71;7,924
-0,41;8,02;0,71;8,081
-0,10;8,02;0,71;8,255
-0,20;8,02;0,71;8,378
-0,26;8,02;0,71;8,500
-0,30;8,02;0,71;8,622
-0,20;8,02;0,71;8,744
-0,15;8,02;0,71;8,901
-0,18;8,02;0,71;9,023
-0,23;8,02;0,71;9,163
-0,19;8,02;0,71;9,268
-0,13;8,02;0,71;9,372
-0,12;8,02;0,71;9,477
-0,08;8,02;0,71;9,547
-0,05;8,02;0,71;9,617
-0,06;8,02;0,71;9,669
-0,13;8,02;0,71;9,739
-0,09;8,02;0,71;9,809
-0,13;8,02;0,71;9,896
-0,23;8,02;0,71;10,018
-0,21;8,02;0,71;10,140
-0,22;8,02;0,71;10,297
-0,21;8,02;0,71;10,455
-0,19;8,02;0,71;10,629
-0,16;8,02;0,71;10,786
-0,12;8,02;0,71;10,926
-0,10;8,02;0,71;11,048
-0,09;8,02;0,71;11,170
0,06;8,02;0,71;11,292
0,06;8,02;0,71;11,432
0,00;8,02;0,71;11,572
0,09;8,02;0,71;11,729
0,00;8,02;0,71;11,886
0,03;8,02;0,71;12,043
0,08;8,02;0,71;12,165
0,17;8,02;0,71;12,287
0,13;8,02;0,71;12,392
0,33;8,02;0,71;12,531
0,37;8,02;0,71;12,654
0,39;8,02;0,71;12,758
0,34;8,02;0,71;12,828
0,49;8,02;0,71;12,915
0,53;8,02;0,71;13,020
0,75;8,02;0,71;13,107
0,86;8,02;0,71;13,212
1,01;8,02;0,71;13,299
1,15;8,02;0,71;13,422
1,26;8,02;0,71;13,561
1,46;8,02;0,71;13,683
1,51;8,02;0,71;13,806
1,85;8,02;0,71;13,928
2,10;8,02;0,71;14,032
2,61;8,02;0,71;14,155
3,00;8,02;0,71;14,277
3,63;8,02;0,71;14,416
4,07;8,02;0,71;14,504
4,97;8,02;0,71;14,591
5,49;8,02;0,71;14,643
5,94;8,02;0,71;14,696
6,71;8,02;0,71;14,800
7,16;8,02;0,71;14,923
8,37;8,02;0,71;15,080
9,29;8,02;0,71;15,237
11,70;8,02;0,71;15,376
13,37;8,02;0,71;15,551
17,51;8,02;0,71;15,708
20,19;8,02;0,71;15,848
23,05;8,02;0,71;15,987
29,53;8,02;0,71;16,127
32,84;8,02;0,71;16,284
39,41;8,02;0,71;16,458
42,71;8,02;0,71;16,685
47,63;8,02;0,71;16,895
48,07;8,02;0,71;17,087
45,02;8,02;0,71;17,244
41,81;8,02;0,71;17,383
34,51;8,02;0,71;17,506
30,92;8,02;0,71;17,628
27,50;8,02;0,71;17,785
20,80;8,02;0,71;17,907
17,76;8,02;0,71;18,029
12,93;8,02;0,71;18,117
11,03;8,02;0,71;18,186
8,12;8,02;0,71;18,256
7,08;8,02;0,71;18,361
5,14;8,02;0,71;18,483
4,03;8,02;0,71;18,640
2,99;8,02;0,71;18,797
1,49;8,02;0,71;18,919
1,16;8,02;0,71;19,024
0,68;8,02;0,71;19,111
0,57;8,02;0,71;19,234
0,33;8,02;0,71;19,373
0,13;8,02;0,71;19,530
0,05;8,02;0,71;19,687
0,05;8,02;0,71;19,844
0,05;8,02;0,71;20,019
0,08;8,02;0,71;20,159
0,12;8,02;0,71;20,281
0,12;8,02;0,71;20,385
0,09;8,02;0,71;20,508
0,05;8,02;0,71;20,630
0,07;8,02;0,71;20,769
0,09;8,02;0,71;20,909
0,10;8,02;0,71;21,084
-0,01;8,02;0,71;21,241
-0,01;8,02;0,71;21,398
-0,09;8,02;0,71;21,502
-0,09;8,02;0,71;21,607
-0,09;8,02;0,71;21,712
-0,05;8,02;0,71;21,834
-0,11;8,02;0,71;21,974
-0,11;8,02;0,71;22,131
-0,06;8,02;0,71;22,288
-0,14;8,02;0,71;22,445
-0,19;8,02;0,71;22,585
-0,16;8,02;0,71;22,742
-0,16;8,02;0,71;22,899
-0,19;8,02;0,71;23,073
-0,14;8,02;0,71;23,248
-0,19;8,02;0,71;23,387
-0,09;8,02;0,71;23,527
-0,10;8,02;0,71;23,632
-0,07;8,02;0,71;23,736
0,05;8,02;0,71;23,841
-1,98E-4;8,02;0,71;23,928
0,01;8,02;0,71;24,016
0,01;8,02;0,71;24,103
0,03;8,02;0,71;24,208
-0,03;8,02;0,71;24,347
-0,15;8,02;0,71;24,470
-0,08;8,02;0,71;24,592
-0,09;8,02;0,71;24,696
-0,01;8,02;0,71;24,819
-0,02;8,02;0,71;24,941
-0,08;8,02;0,71;25,098
-0,08;8,02;0,71;25,255
-0,11;8,02;0,71;25,395
-0,11;8,02;0,71;25,552
